[2022-05-09T22:46:12.180] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.185] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.187] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.192] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.194] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.196] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.202] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.205] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.209] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.212] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.216] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.220] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.224] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.227] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.229] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.234] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.239] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.243] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.246] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.250] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.253] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.258] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.260] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.265] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.271] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.276] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.278] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.281] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.285] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.288] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.291] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.293] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.296] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.299] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.303] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.306] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.310] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.312] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.315] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.319] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.325] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.327] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.330] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.333] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.337] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.339] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.343] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.359] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.361] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.364] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.368] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.371] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.374] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.377] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.379] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.382] [INFO] infoFile - { route: '/info', method: '[GET]' }
